Scenario,Variance,Delta,Std_Deviation,Effect_Size_d,Effect_Size_h,Alpha,Power,p1,p2,Proportion (p),Margin_of_Error,User_n,GPower_n,Difference,rel_diff,part
Two Means (A/B),487.9,6.059,22.088,0.2743,,0.01,0.9,,,,,396,398,2,0.01,part 1
Two Means (A/B),419.806,3.516,20.489,0.1716,,0.05,0.8,,,,,533,535,2,0.00,part 1
Two Means (A/B),64.312,5.532,8.019,0.6899,,0.1,0.8,,,,,26,27,1,0.04,part 1
Two Means (A/B),210.196,8.953,14.498,0.6175,,0.1,0.85,,,,,38,39,1,0.03,part 1
Two Means (A/B),198.545,3.284,14.091,0.233,,0.05,0.8,,,,,290,291,1,0.00,part 1
Two Means (A/B),266.515,6.909,16.325,0.4232,,0.05,0.9,,,,,118,119,1,0.01,part 1
Two Means (A/B),464.393,0.705,21.55,0.0327,,0.05,0.95,,,,,24306,24307,1,0.00,part 1
Two Means (A/B),412.791,7.508,20.317,0.3695,,0.1,0.95,,,,,159,160,1,0.01,part 1
Two Means (A/B),144.207,3.768,12.009,0.3137,,0.05,0.85,,,,,183,184,1,0.01,part 1
Two Means (A/B),328.215,3.752,18.117,0.2071,,0.05,0.8,,,,,366,367,1,0.00,part 1
Two Means (A/B),78.054,1.563,8.835,0.1769,,0.01,0.9,,,,,952,953,1,0.00,part 1
Two Means (A/B),359.224,8.46,18.953,0.4464,,0.01,0.9,,,,,150,152,2,0.01,part 1
Two Means (A/B),63.712,8.685,7.982,1.0881,,0.05,0.9,,,,,18,19,1,0.05,part 1
Two Means (A/B),228.724,1.138,15.124,0.0753,,0.01,0.8,,,,,4124,4122,-2,0.00,part 1
Two Means (A/B),132.028,5.683,11.49,0.4946,,0.1,0.9,,,,,71,71,0,0.00,part 1
Two Means (A/B),90.142,5.4,9.494,0.5687,,0.1,0.8,,,,,39,39,0,0.00,part 1
Two Means (A/B),204.317,4.792,14.294,0.3353,,0.05,0.9,,,,,187,188,1,0.01,part 1
Two Means (A/B),341.97,4.848,18.492,0.2622,,0.01,0.85,,,,,380,382,2,0.01,part 1
Two Means (A/B),314.079,7.48,17.722,0.4221,,0.1,0.95,,,,,122,123,1,0.01,part 1
