Formula,Variance,Delta,Alpha,Power,User_n,Statsmodels_n,Difference,Rel_difference
Two Means (A/B),85.73871604504397,0.9480166710046624,0.09999999999999998,0.95,2065,2066.0,1.0,0.000484027105517909
Two Means (A/B),136.3402961234343,3.3013784649436557,0.010000000000000009,0.85,327,329.0,2.0,0.0060790273556231
Two Means (A/B),209.7483376243718,0.7872960431863244,0.09999999999999998,0.95,7325,7325.0,0.0,0.0
Two Means (A/B),80.4256536164967,8.02352942744138,0.010000000000000009,0.95,45,47.0,2.0,0.0425531914893617
Two Means (A/B),293.00536157202976,8.812782966858437,0.050000000000000044,0.9,80,81.0,1.0,0.012345679012345678
Two Means (A/B),289.8310039481009,3.3109041558422185,0.010000000000000009,0.85,690,692.0,2.0,0.002890173410404624
Two Means (A/B),351.26912983918555,9.94197967608956,0.050000000000000044,0.85,64,65.0,1.0,0.015384615384615385
Two Means (A/B),301.0025378165112,7.3334400513685365,0.050000000000000044,0.95,146,147.0,1.0,0.006802721088435374
Two Means (A/B),77.06405417035334,5.666738477191307,0.09999999999999998,0.8,30,31.0,1.0,0.03225806451612903
Two Means (A/B),335.7320205159649,7.572894417414393,0.010000000000000009,0.95,209,211.0,2.0,0.009478672985781991
Two Means (A/B),234.26503385234176,4.284622222622277,0.010000000000000009,0.95,455,457.0,2.0,0.00437636761487965
Two Means (A/B),50.55650589173425,3.078445772697225,0.010000000000000009,0.95,191,192.0,1.0,0.005208333333333333
Two Means (A/B),222.1368261098037,1.286307119974699,0.010000000000000009,0.95,4784,4785.0,1.0,0.0002089864158829676
Two Means (A/B),59.01186016662101,7.398084227571707,0.09999999999999998,0.8,14,15.0,1.0,0.06666666666666667
Two Means (A/B),352.2012996258668,1.0199985293559604,0.050000000000000044,0.85,6079,6080.0,1.0,0.0001644736842105263
Two Means (A/B),404.55589473151923,8.660393301132048,0.09999999999999998,0.95,117,118.0,1.0,0.00847457627118644
Two Means (A/B),278.0772943192172,1.6771098041279051,0.09999999999999998,0.85,1422,1423.0,1.0,0.0007027406886858749
Two Means (A/B),102.94206281310139,2.350837270951378,0.09999999999999998,0.85,268,269.0,1.0,0.0037174721189591076
Two Means (A/B),221.40928647994426,3.528585509031135,0.09999999999999998,0.8,220,221.0,1.0,0.004524886877828055
Two Means (A/B),279.3759110382642,8.270332471505679,0.050000000000000044,0.9,86,87.0,1.0,0.011494252873563218
Two Means (A/B),474.0741585960049,8.746032951066093,0.050000000000000044,0.9,131,132.0,1.0,0.007575757575757576
Two Means (A/B),403.8241805406925,5.78841508494589,0.09999999999999998,0.95,261,262.0,1.0,0.003816793893129771
Two Means (A/B),143.8297314608011,9.312892624974772,0.050000000000000044,0.85,30,31.0,1.0,0.03225806451612903
Two Means (A/B),417.85236882103624,3.868170605418143,0.050000000000000044,0.85,502,503.0,1.0,0.0019880715705765406
Two Means (A/B),374.63993029792925,1.4986526878275075,0.010000000000000009,0.95,5944,5945.0,1.0,0.0001682085786375105
Two Means (A/B),418.43075183342154,3.2930269806795103,0.010000000000000009,0.85,1007,1009.0,2.0,0.0019821605550049554
Two Means (A/B),119.20601735061399,2.3137829015134814,0.050000000000000044,0.95,579,580.0,1.0,0.0017241379310344827
Two Means (A/B),307.8686430188822,9.334034330714923,0.050000000000000044,0.8,56,57.0,1.0,0.017543859649122806
Two Means (A/B),265.7094980620333,3.205904142821551,0.010000000000000009,0.85,675,677.0,2.0,0.0029542097488921715
Two Means (A/B),112.63911107788843,8.99279011019779,0.050000000000000044,0.8,22,23.0,1.0,0.043478260869565216
Two Means (A/B),192.88915154453167,9.532695523252814,0.050000000000000044,0.8,34,35.0,1.0,0.02857142857142857
Two Means (A/B),349.8380986257679,1.3054429201402205,0.09999999999999998,0.85,2952,2953.0,1.0,0.0003386386725364037
Two Means (A/B),277.7483996810379,2.402258447817263,0.09999999999999998,0.95,1042,1043.0,1.0,0.0009587727708533077
Two Means (A/B),399.5256337122617,1.3081470160315107,0.09999999999999998,0.9,3999,4000.0,1.0,0.00025
