Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.09999999999999998,0.95,0.09176149883238888,0.22661500698642906,154,153.0,1.0,0.006493506493506494
Two Proportions (A/B),0.010000000000000009,0.8,0.3833343418648835,0.6678612277230119,67,70.0,3.0,0.04285714285714286
Two Proportions (A/B),0.010000000000000009,0.9,0.2634472970400226,0.38333127767707875,446,450.0,4.0,0.008888888888888889
Two Proportions (A/B),0.010000000000000009,0.8,0.1990785064186068,0.4386773816043973,83,86.0,3.0,0.03488372093023256
Two Proportions (A/B),0.050000000000000044,0.95,0.05961735816142787,0.3152878101726255,55,54.0,1.0,0.01818181818181818
Two Proportions (A/B),0.09999999999999998,0.9,0.11676735158494515,0.41329778177006676,34,36.0,2.0,0.05555555555555555
Two Proportions (A/B),0.09999999999999998,0.85,0.34725437553231614,0.3980147361300408,1301,1304.0,3.0,0.0023006134969325155
Two Proportions (A/B),0.010000000000000009,0.8,0.02349299273603809,0.18007497693006855,82,73.0,9.0,0.10975609756097561
Two Proportions (A/B),0.050000000000000044,0.9,0.1982612893630421,0.21957013300976647,7644,7645.0,1.0,0.00013080444735120994
Two Proportions (A/B),0.050000000000000044,0.85,0.20011351237396605,0.25652074394829233,990,991.0,1.0,0.0010090817356205853
Two Proportions (A/B),0.050000000000000044,0.85,0.38054467083558663,0.5235163434113349,214,217.0,3.0,0.013824884792626729
Two Proportions (A/B),0.050000000000000044,0.95,0.45104075967807555,0.49472105813622796,3389,3394.0,5.0,0.0014731879787860931
Two Proportions (A/B),0.050000000000000044,0.95,0.16384369151490288,0.4314807564844204,70,73.0,3.0,0.0410958904109589
Two Proportions (A/B),0.010000000000000009,0.9,0.27723674939696824,0.31281524349603074,4883,4886.0,3.0,0.0006139991813344249
Two Proportions (A/B),0.050000000000000044,0.95,0.08427630350624117,0.10324822047833035,6129,6121.0,8.0,0.0013052700277369881
Two Proportions (A/B),0.09999999999999998,0.85,0.4902534062827458,0.638838156209196,157,159.0,2.0,0.012578616352201259
